ipv4,ip_id,scan_id,port,service,anomaly
95.3.173.237,1,30,"[np.int64(587), np.int64(21), np.int64(8088), np.int64(1433), np.int64(2022), np.int64(1080)]","[np.str_('SMTP'), np.str_('FTP'), np.str_('HTTP'), np.str_('MSSQL'), np.str_('SSH'), np.str_('SOCKS')]",0
95.3.173.237,1,31,"[np.int64(7995), np.int64(2096), np.int64(22)]","[np.str_('POP3'), np.str_('HTTP'), np.str_('SSH')]",0
95.3.173.237,1,32,"[np.int64(3306), np.int64(443)]","[np.str_('MYSQL'), np.str_('HTTP')]",0
95.3.173.237,1,33,"[np.int64(587), np.int64(7547), np.int64(995), np.int64(23)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('POP3'), np.str_('TELNET')]",0
95.3.173.237,1,34,"[np.int64(21), np.int64(5280), np.int64(110), np.int64(587)]","[np.str_('FTP'), np.str_('HTTP'), np.str_('POP3'), np.str_('SMTP')]",0
95.3.173.237,1,35,"[np.int64(8080), np.int64(22)]","[np.str_('HTTP'), np.str_('SSH')]",0
95.3.173.237,1,36,"[np.int64(2087), np.int64(4190), np.int64(21)]","[np.str_('HTTP'), np.str_('PIGEONHOLE'), np.str_('FTP')]",0
95.3.173.237,1,37,"[np.int64(993), np.int64(587), np.int64(80), np.int64(53)]","[np.str_('IMAP'), np.str_('SMTP'), np.str_('HTTP'), np.str_('DNS')]",0
95.3.173.237,1,38,"[np.int64(2095), np.int64(995)]","[np.str_('HTTP'), np.str_('POP3')]",0
95.3.173.237,1,39,"[np.int64(2095), np.int64(53), np.int64(21)]","[np.str_('HTTP'), np.str_('DNS'), np.str_('FTP')]",0
41.171.20.194,2,40,"[np.int64(3306), np.int64(110), np.int64(5050)]","[np.str_('MYSQL'), np.str_('POP3'), np.str_('HTTP')]",0
41.171.20.194,2,41,"[np.int64(2096), np.int64(465), np.int64(993)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('IMAP')]",0
41.171.20.194,2,42,"[np.int64(143), np.int64(2096)]","[np.str_('IMAP'), np.str_('HTTP')]",0
41.171.20.194,2,43,"[np.int64(2096), np.int64(587)]","[np.str_('HTTP'), np.str_('SMTP')]",0
41.171.20.194,2,44,"[np.int64(587), np.int64(9990), np.int64(3306)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('MYSQL')]",0
41.171.20.194,2,45,"[np.int64(3380), np.int64(80)]","[np.str_('MYSQL'), np.str_('HTTP')]",0
41.171.20.194,2,46,"[np.int64(993), np.int64(2083), np.int64(3306)]","[np.str_('IMAP'), np.str_('HTTP'), np.str_('MYSQL')]",0
41.171.20.194,2,47,"[np.int64(3306), np.int64(8092)]","[np.str_('MYSQL'), np.str_('HTTP')]",0
41.171.20.194,2,48,"[np.int64(2086), np.int64(993), np.int64(21)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('FTP')]",0
41.171.20.194,2,49,"[np.int64(5533), np.int64(21), np.int64(993), np.int64(22)]","[np.str_('HTTP'), np.str_('FTP'), np.str_('IMAP'), np.str_('SSH')]",0
41.171.20.194,2,50,"[np.int64(26), np.int64(1457), np.int64(8889), np.int64(995), np.int64(143)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('UNKNOWN'), np.str_('POP3'), np.str_('IMAP')]",0
41.171.20.194,2,51,"[np.int64(8016), np.int64(110), np.int64(21), np.int64(69), np.int64(587), np.int64(53)]","[np.str_('HTTP'), np.str_('POP3'), np.str_('FTP'), np.str_('TFTP'), np.str_('SMTP'), np.str_('DNS')]",0
41.171.20.194,2,52,"[np.int64(2083), np.int64(25), np.int64(21)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('FTP')]",0
41.171.20.194,2,53,"[np.int64(22), np.int64(2077), np.int64(993), np.int64(465)]","[np.str_('SSH'), np.str_('HTTP'), np.str_('IMAP'), np.str_('SMTP')]",0
41.171.20.194,2,54,"[np.int64(53), np.int64(2086), np.int64(465), np.int64(21)]","[np.str_('DNS'), np.str_('HTTP'), np.str_('SMTP'), np.str_('FTP')]",0
41.171.20.194,2,55,"[np.int64(587), np.int64(143), np.int64(22382), np.int64(2022), np.int64(123)]","[np.str_('SMTP'), np.str_('IMAP'), np.str_('HTTP'), np.str_('SSH'), np.str_('NTP')]",0
41.171.20.194,2,56,"[np.int64(8880), np.int64(21), np.int64(587)]","[np.str_('HTTP'), np.str_('FTP'), np.str_('SMTP')]",0
41.171.20.194,2,57,"[np.int64(80), np.int64(21), np.int64(2525), np.int64(110), np.int64(143), np.int64(111), np.int64(53)]","[np.str_('HTTP'), np.str_('FTP'), np.str_('SMTP'), np.str_('POP3'), np.str_('IMAP'), np.str_('PORTMAP'), np.str_('DNS')]",0
41.171.20.194,2,58,"[np.int64(995), np.int64(2095), np.int64(3306)]","[np.str_('POP3'), np.str_('HTTP'), np.str_('MYSQL')]",0
41.171.20.194,2,59,"[np.int64(110), np.int64(10001), np.int64(80), np.int64(53)]","[np.str_('POP3'), np.str_('ATG'), np.str_('HTTP'), np.str_('DNS')]",0
86.231.216.80,3,60,[np.int64(21)],[np.str_('FTP')],0
86.231.216.80,3,61,"[np.int64(2082), np.int64(1701), np.int64(21), np.int64(995), np.int64(3306)]","[np.str_('HTTP'), np.str_('L2TP'), np.str_('FTP'), np.str_('POP3'), np.str_('MYSQL')]",0
86.231.216.80,3,62,[np.int64(80)],[np.str_('HTTP')],0
86.231.216.80,3,63,"[np.int64(8083), np.int64(5432), np.int64(110), np.int64(993), np.int64(53), np.int64(500), np.int64(1723)]","[np.str_('HTTP'), np.str_('POSTGRES'), np.str_('POP3'), np.str_('IMAP'), np.str_('DNS'), np.str_('IKE'), np.str_('PPTP')]",0
86.231.216.80,3,64,"[np.int64(21), np.int64(2000), np.int64(22), np.int64(30005), np.int64(8001), np.int64(465)]","[np.str_('FTP'), np.str_('MIKROTIK'), np.str_('SSH'), np.str_('HTTP'), np.str_('UNKNOWN'), np.str_('SMTP')]",0
86.231.216.80,3,65,"[np.int64(465), np.int64(53), np.int64(88), np.int64(143)]","[np.str_('SMTP'), np.str_('DNS'), np.str_('HTTP'), np.str_('IMAP')]",0
86.231.216.80,3,66,"[np.int64(20547), np.int64(2091), np.int64(22)]","[np.str_('PRO'), np.str_('HTTP'), np.str_('SSH')]",0
86.231.216.80,3,67,"[np.int64(443), np.int64(465), np.int64(995), np.int64(5222), np.int64(993), np.int64(22)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('POP3'), np.str_('XMPP'), np.str_('IMAP'), np.str_('SSH')]",0
86.231.216.80,3,68,"[np.int64(7047), np.int64(993), np.int64(995)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('POP3')]",0
86.231.216.80,3,69,"[np.int64(2095), np.int64(21), np.int64(3306)]","[np.str_('HTTP'), np.str_('FTP'), np.str_('MYSQL')]",0
86.231.216.80,3,70,"[np.int64(110), np.int64(2086), np.int64(143)]","[np.str_('POP3'), np.str_('HTTP'), np.str_('IMAP')]",0
86.231.216.80,3,71,"[np.int64(995), np.int64(143), np.int64(2087)]","[np.str_('POP3'), np.str_('IMAP'), np.str_('HTTP')]",0
86.231.216.80,3,72,"[np.int64(2086), np.int64(995), np.int64(22), np.int64(500), np.int64(143), np.int64(25)]","[np.str_('HTTP'), np.str_('POP3'), np.str_('SSH'), np.str_('IKE'), np.str_('IMAP'), np.str_('SMTP')]",0
86.231.216.80,3,73,"[np.int64(5060), np.int64(3306), np.int64(110), np.int64(443), np.int64(1022)]","[np.str_('SIP'), np.str_('MYSQL'), np.str_('POP3'), np.str_('HTTP'), np.str_('SSH')]",0
86.231.216.80,3,74,"[np.int64(993), np.int64(80), np.int64(465)]","[np.str_('IMAP'), np.str_('HTTP'), np.str_('SMTP')]",0
86.231.216.80,3,75,"[np.int64(111), np.int64(2096), np.int64(587), np.int64(2222), np.int64(993)]","[np.str_('PORTMAP'), np.str_('HTTP'), np.str_('SMTP'), np.str_('SSH'), np.str_('IMAP')]",0
86.231.216.80,3,76,"[np.int64(443), np.int64(3306)]","[np.str_('HTTP'), np.str_('MYSQL')]",0
86.231.216.80,3,77,[np.int64(2096)],[np.str_('HTTP')],0
86.231.216.80,3,78,[np.int64(2096)],[np.str_('HTTP')],0
86.231.216.80,3,79,[np.int64(111)],[np.str_('PORTMAP')],0
86.121.26.56,4,80,"[np.int64(2083), np.int64(993), np.int64(26)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('SMTP')]",0
86.121.26.56,4,81,"[np.int64(9002), np.int64(993), np.int64(88), np.int64(26257), np.int64(135)]","[np.str_('TELNET'), np.str_('IMAP'), np.str_('HTTP'), np.str_('UNKNOWN'), np.str_('DCERPC')]",0
86.121.26.56,4,82,[np.int64(2087)],[np.str_('HTTP')],0
86.121.26.56,4,83,"[np.int64(465), np.int64(80), np.int64(22), np.int64(110)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('SSH'), np.str_('POP3')]",0
86.121.26.56,4,84,"[np.int64(993), np.int64(2096), np.int64(53)]","[np.str_('IMAP'), np.str_('HTTP'), np.str_('DNS')]",0
86.121.26.56,4,85,"[np.int64(143), np.int64(587)]","[np.str_('IMAP'), np.str_('SMTP')]",0
86.121.26.56,4,86,"[np.int64(2091), np.int64(587)]","[np.str_('HTTP'), np.str_('SMTP')]",0
86.121.26.56,4,87,"[np.int64(2086), np.int64(26), np.int64(111), np.int64(631), np.int64(21)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('PORTMAP'), np.str_('IPP'), np.str_('FTP')]",0
86.121.26.56,4,88,"[np.int64(110), np.int64(123), np.int64(21), np.int64(443)]","[np.str_('POP3'), np.str_('NTP'), np.str_('FTP'), np.str_('HTTP')]",0
86.121.26.56,4,89,"[np.int64(465), np.int64(80), np.int64(4190)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('PIGEONHOLE')]",0
86.121.26.56,4,90,"[np.int64(1433), np.int64(3306), np.int64(995), np.int64(465)]","[np.str_('MSSQL'), np.str_('MYSQL'), np.str_('POP3'), np.str_('SMTP')]",0
86.121.26.56,4,91,"[np.int64(2012), np.int64(993), np.int64(53), np.int64(23)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('DNS'), np.str_('TELNET')]",0
86.121.26.56,4,92,"[np.int64(5050), np.int64(143), np.int64(161), np.int64(587)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('SNMP'), np.str_('SMTP')]",0
86.121.26.56,4,93,"[np.int64(993), np.int64(2086)]","[np.str_('IMAP'), np.str_('HTTP')]",0
86.121.26.56,4,94,"[np.int64(161), np.int64(110), np.int64(2077)]","[np.str_('SNMP'), np.str_('POP3'), np.str_('HTTP')]",0
86.121.26.56,4,95,"[np.int64(995), np.int64(2078), np.int64(143)]","[np.str_('POP3'), np.str_('HTTP'), np.str_('IMAP')]",0
86.121.26.56,4,96,"[np.int64(225), np.int64(993), np.int64(2078)]","[np.str_('SMTP'), np.str_('IMAP'), np.str_('HTTP')]",0
86.121.26.56,4,97,"[np.int64(2077), np.int64(465), np.int64(23), np.int64(22)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('TELNET'), np.str_('SSH')]",0
86.121.26.56,4,98,"[np.int64(10003), np.int64(995), np.int64(587), np.int64(161)]","[np.str_('HTTP'), np.str_('POP3'), np.str_('SMTP'), np.str_('SNMP')]",0
86.121.26.56,4,99,"[np.int64(110), np.int64(22), np.int64(25), np.int64(80), np.int64(53)]","[np.str_('POP3'), np.str_('SSH'), np.str_('SMTP'), np.str_('HTTP'), np.str_('DNS')]",0
67.32.196.52,5,100,"[np.int64(21), np.int64(80), np.int64(3306), np.int64(25), np.int64(22)]","[np.str_('FTP'), np.str_('HTTP'), np.str_('MYSQL'), np.str_('SMTP'), np.str_('SSH')]",0
67.32.196.52,5,101,"[np.int64(2087), np.int64(995), np.int64(135), np.int64(465)]","[np.str_('HTTP'), np.str_('POP3'), np.str_('DCERPC'), np.str_('SMTP')]",0
67.32.196.52,5,102,[np.int64(465)],[np.str_('SMTP')],0
67.32.196.52,5,103,"[np.int64(9200), np.int64(995), np.int64(5281)]","[np.str_('ELASTICSEARCH'), np.str_('POP3'), np.str_('HTTP')]",0
67.32.196.52,5,104,"[np.int64(2083), np.int64(7143), np.int64(110), np.int64(587), np.int64(2222)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('POP3'), np.str_('SMTP'), np.str_('SSH')]",0
67.32.196.52,5,105,"[np.int64(21), np.int64(2077)]","[np.str_('FTP'), np.str_('HTTP')]",0
67.32.196.52,5,106,"[np.int64(2086), np.int64(21), np.int64(8001)]","[np.str_('HTTP'), np.str_('FTP'), np.str_('UNKNOWN')]",0
67.32.196.52,5,107,"[np.int64(80), np.int64(587), np.int64(21), np.int64(993), np.int64(53), np.int64(69), np.int64(22)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('FTP'), np.str_('IMAP'), np.str_('DNS'), np.str_('TFTP'), np.str_('SSH')]",0
67.32.196.52,5,108,"[np.int64(465), np.int64(2077), np.int64(22)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('SSH')]",0
67.32.196.52,5,109,"[np.int64(26), np.int64(990)]","[np.str_('SMTP'), np.str_('FTP')]",0
67.32.196.52,5,110,"[np.int64(1433), np.int64(80), np.int64(161), np.int64(465), np.int64(993)]","[np.str_('MSSQL'), np.str_('HTTP'), np.str_('SNMP'), np.str_('SMTP'), np.str_('IMAP')]",0
67.32.196.52,5,111,"[np.int64(21), np.int64(18245)]","[np.str_('FTP'), np.str_('HTTP')]",0
67.32.196.52,5,112,"[np.int64(22), np.int64(2077), np.int64(6379)]","[np.str_('SSH'), np.str_('HTTP'), np.str_('REDIS')]",0
67.32.196.52,5,113,"[np.int64(24530), np.int64(110), np.int64(22)]","[np.str_('TELNET'), np.str_('POP3'), np.str_('SSH')]",0
67.32.196.52,5,114,"[np.int64(52227), np.int64(25), np.int64(995)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('POP3')]",0
67.32.196.52,5,115,"[np.int64(143), np.int64(21), np.int64(80), np.int64(3306)]","[np.str_('IMAP'), np.str_('FTP'), np.str_('HTTP'), np.str_('MYSQL')]",0
67.32.196.52,5,116,"[np.int64(995), np.int64(2222)]","[np.str_('POP3'), np.str_('SSH')]",0
67.32.196.52,5,117,"[np.int64(2095), np.int64(587)]","[np.str_('HTTP'), np.str_('SMTP')]",0
67.32.196.52,5,118,"[np.int64(1701), np.int64(4190), np.int64(8443)]","[np.str_('L2TP'), np.str_('PIGEONHOLE'), np.str_('HTTP')]",0
67.32.196.52,5,119,"[np.int64(2095), np.int64(143), np.int64(3380), np.int64(1433)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('MYSQL'), np.str_('MSSQL')]",0
149.104.114.215,6,120,"[np.int64(25), np.int64(2087), np.int64(53), np.int64(21), np.int64(4190)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('DNS'), np.str_('FTP'), np.str_('PIGEONHOLE')]",0
149.104.114.215,6,121,"[np.int64(995), np.int64(135), np.int64(25)]","[np.str_('POP3'), np.str_('DCERPC'), np.str_('SMTP')]",0
149.104.114.215,6,122,"[np.int64(995), np.int64(12356), np.int64(26), np.int64(5432)]","[np.str_('POP3'), np.str_('HTTP'), np.str_('SMTP'), np.str_('POSTGRES')]",0
149.104.114.215,6,123,[np.int64(25)],[np.str_('SMTP')],0
149.104.114.215,6,124,"[np.int64(2083), np.int64(587)]","[np.str_('HTTP'), np.str_('SMTP')]",0
149.104.114.215,6,125,"[np.int64(995), np.int64(2078), np.int64(53), np.int64(161)]","[np.str_('POP3'), np.str_('HTTP'), np.str_('DNS'), np.str_('SNMP')]",0
149.104.114.215,6,126,[np.int64(7080)],[np.str_('HTTP')],0
149.104.114.215,6,127,"[np.int64(8088), np.int64(53), np.int64(161), np.int64(110)]","[np.str_('HTTP'), np.str_('DNS'), np.str_('SNMP'), np.str_('POP3')]",0
149.104.114.215,6,128,"[np.int64(2096), np.int64(3389), np.int64(587), np.int64(500)]","[np.str_('HTTP'), np.str_('RDP'), np.str_('SMTP'), np.str_('IKE')]",0
149.104.114.215,6,129,"[np.int64(80), np.int64(22), np.int64(111)]","[np.str_('HTTP'), np.str_('SSH'), np.str_('PORTMAP')]",0
149.104.114.215,6,130,"[np.int64(7081), np.int64(3306)]","[np.str_('HTTP'), np.str_('MYSQL')]",0
149.104.114.215,6,131,"[np.int64(22), np.int64(2083), np.int64(2201), np.int64(465)]","[np.str_('SSH'), np.str_('HTTP'), np.str_('UNKNOWN'), np.str_('SMTP')]",0
149.104.114.215,6,132,"[np.int64(3306), np.int64(465)]","[np.str_('MYSQL'), np.str_('SMTP')]",0
149.104.114.215,6,133,"[np.int64(465), np.int64(80), np.int64(5432)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('POSTGRES')]",0
149.104.114.215,6,134,"[np.int64(2077), np.int64(53), np.int64(111)]","[np.str_('HTTP'), np.str_('DNS'), np.str_('PORTMAP')]",0
149.104.114.215,6,135,"[np.int64(993), np.int64(389)]","[np.str_('IMAP'), np.str_('LDAP')]",0
149.104.114.215,6,136,[np.int64(21)],[np.str_('FTP')],0
149.104.114.215,6,137,"[np.int64(2078), np.int64(22), np.int64(26)]","[np.str_('HTTP'), np.str_('SSH'), np.str_('SMTP')]",0
149.104.114.215,6,138,"[np.int64(4190), np.int64(18097)]","[np.str_('PIGEONHOLE'), np.str_('HTTP')]",0
149.104.114.215,6,139,"[np.int64(2087), np.int64(9001), np.int64(111), np.int64(3389)]","[np.str_('HTTP'), np.str_('TELNET'), np.str_('PORTMAP'), np.str_('RDP')]",0
44.136.107.203,7,140,"[np.int64(587), np.int64(18210), np.int64(21), np.int64(104), np.int64(631)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('FTP'), np.str_('DICOM'), np.str_('IPP')]",0
44.136.107.203,7,141,"[np.int64(143), np.int64(992), np.int64(26), np.int64(443), np.int64(110)]","[np.str_('IMAP'), np.str_('UNKNOWN'), np.str_('SMTP'), np.str_('HTTP'), np.str_('POP3')]",0
44.136.107.203,7,142,"[np.int64(587), np.int64(4190), np.int64(22)]","[np.str_('SMTP'), np.str_('PIGEONHOLE'), np.str_('SSH')]",0
44.136.107.203,7,143,"[np.int64(587), np.int64(21)]","[np.str_('SMTP'), np.str_('FTP')]",0
44.136.107.203,7,144,"[np.int64(587), np.int64(2077), np.int64(23), np.int64(110)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('TELNET'), np.str_('POP3')]",0
44.136.107.203,7,145,"[np.int64(2095), np.int64(143)]","[np.str_('HTTP'), np.str_('IMAP')]",0
44.136.107.203,7,146,"[np.int64(143), np.int64(2086)]","[np.str_('IMAP'), np.str_('HTTP')]",0
44.136.107.203,7,147,"[np.int64(2087), np.int64(26)]","[np.str_('HTTP'), np.str_('SMTP')]",0
44.136.107.203,7,148,"[np.int64(2096), np.int64(6001), np.int64(587), np.int64(53), np.int64(22), np.int64(500), np.int64(110)]","[np.str_('HTTP'), np.str_('TELNET'), np.str_('SMTP'), np.str_('DNS'), np.str_('SSH'), np.str_('IKE'), np.str_('POP3')]",0
44.136.107.203,7,149,"[np.int64(21), np.int64(143), np.int64(2082), np.int64(22)]","[np.str_('FTP'), np.str_('IMAP'), np.str_('HTTP'), np.str_('SSH')]",0
44.136.107.203,7,150,"[np.int64(465), np.int64(995), np.int64(993)]","[np.str_('SMTP'), np.str_('POP3'), np.str_('IMAP')]",0
44.136.107.203,7,151,"[np.int64(465), np.int64(3306), np.int64(5229)]","[np.str_('SMTP'), np.str_('MYSQL'), np.str_('UNKNOWN')]",0
44.136.107.203,7,152,"[np.int64(993), np.int64(25), np.int64(995)]","[np.str_('IMAP'), np.str_('SMTP'), np.str_('POP3')]",0
44.136.107.203,7,153,"[np.int64(5443), np.int64(993), np.int64(21), np.int64(25), np.int64(53), np.int64(4190), np.int64(22)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('FTP'), np.str_('SMTP'), np.str_('DNS'), np.str_('PIGEONHOLE'), np.str_('SSH')]",0
44.136.107.203,7,154,[np.int64(110)],[np.str_('POP3')],0
44.136.107.203,7,155,"[np.int64(587), np.int64(3306), np.int64(2086), np.int64(104), np.int64(111), np.int64(993), np.int64(21)]","[np.str_('SMTP'), np.str_('MYSQL'), np.str_('HTTP'), np.str_('DICOM'), np.str_('PORTMAP'), np.str_('IMAP'), np.str_('FTP')]",0
44.136.107.203,7,156,"[np.int64(110), np.int64(465), np.int64(993), np.int64(80), np.int64(18080)]","[np.str_('POP3'), np.str_('SMTP'), np.str_('IMAP'), np.str_('HTTP'), np.str_('MONERO')]",0
44.136.107.203,7,157,"[np.int64(143), np.int64(2078), np.int64(22)]","[np.str_('IMAP'), np.str_('HTTP'), np.str_('SSH')]",0
44.136.107.203,7,158,"[np.int64(2087), np.int64(3306), np.int64(18765)]","[np.str_('HTTP'), np.str_('MYSQL'), np.str_('SSH')]",0
44.136.107.203,7,159,"[np.int64(443), np.int64(21), np.int64(22)]","[np.str_('HTTP'), np.str_('FTP'), np.str_('SSH')]",0
143.174.22.102,8,160,"[np.int64(465), np.int64(23)]","[np.str_('SMTP'), np.str_('TELNET')]",0
143.174.22.102,8,161,"[np.int64(53), np.int64(2096), np.int64(995)]","[np.str_('DNS'), np.str_('HTTP'), np.str_('POP3')]",0
143.174.22.102,8,162,"[np.int64(8443), np.int64(14737), np.int64(25)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('SMTP')]",0
143.174.22.102,8,163,[np.int64(5938)],[np.str_('TEAM')],0
143.174.22.102,8,164,"[np.int64(2083), np.int64(1801), np.int64(587)]","[np.str_('HTTP'), np.str_('MSMQ'), np.str_('SMTP')]",0
143.174.22.102,8,165,"[np.int64(443), np.int64(995), np.int64(1723)]","[np.str_('HTTP'), np.str_('POP3'), np.str_('PPTP')]",0
