ipv4,ip_id,scan_id,port,service,anomaly
80.228.249.0,3,76,"[465, 110, 143]","['SMTP', 'POP3', 'IMAP']",0
80.228.249.0,3,77,"[110, 143, 465, 53, 2022]","['POP3', 'IMAP', 'SMTP', 'DNS', 'SSH']",0
80.228.249.0,3,78,"[465, 143, 2022, 53, 110]","['SMTP', 'IMAP', 'SSH', 'DNS', 'POP3']",0
80.228.249.0,3,79,"[110, 2022, 2096]","['POP3', 'SSH', 'HTTP']",0
24.157.91.36,4,80,"[25, 8080, 21, 3306, 995, 993, 23, 123, 22, 44818, 106, 5229]","['SMTP' 'HTTP' 'FTP' 'MYSQL' 'POP3' 'IMAP' 'TELNET' 'NTP' 'SSH' 'EIP'
 'POPPASSD' 'UNKNOWN']",1
24.157.91.36,4,81,"[21, 443, 995, 25, 43022, 993, 3306, 1433, 123, 53, 1883, 161, 58000, 223]","['FTP' 'HTTP' 'POP3' 'SMTP' 'TELNET' 'IMAP' 'MYSQL' 'MSSQL' 'NTP' 'DNS'
 'MQTT' 'SNMP' 'CWMP' 'SSH']",1
24.157.91.36,4,82,"[21, 5609, 993, 465, 53, 1723, 110, 500, 161, 2222, 10001, 123, 1051, 111, 3306]","['FTP' 'HTTP' 'IMAP' 'SMTP' 'DNS' 'PPTP' 'POP3' 'IKE' 'SNMP' 'SSH' 'ATG'
 'NTP' 'UNKNOWN' 'PORTMAP' 'MYSQL']",1
24.157.91.36,4,83,"[443, 111, 5938, 53, 110, 21, 143, 3306, 23, 26, 541, 5222, 8005]","['HTTP' 'PORTMAP' 'TEAM' 'DNS' 'POP3' 'FTP' 'IMAP' 'MYSQL' 'TELNET' 'SMTP'
 'FORTIGUARD' 'XMPP' 'UNKNOWN']",1
24.157.91.36,4,84,"[25, 2095, 995, 4001, 143, 123, 22, 10001, 53, 21, 6969, 111, 5351, 4190, 1433]","['SMTP' 'HTTP' 'POP3' 'UNKNOWN' 'IMAP' 'NTP' 'SSH' 'UBIQUITI' 'DNS' 'FTP'
 'BITTORRENT' 'PORTMAP' 'NATPMP' 'PIGEONHOLE' 'MSSQL']",1
24.157.91.36,4,85,"[5280, 2525, 6379, 995, 3306, 53, 22, 21, 5353]",['HTTP' 'SMTP' 'REDIS' 'POP3' 'MYSQL' 'DNS' 'SSH' 'FTP' 'MDNS'],1
24.157.91.36,4,86,"[143, 21, 587, 995, 2082, 23, 1433, 18765, 53, 4190]","['IMAP' 'FTP' 'SMTP' 'POP3' 'HTTP' 'TELNET' 'MSSQL' 'SSH' 'DNS'
 'PIGEONHOLE']",1
24.157.91.36,4,87,"[143, 21, 53, 21, 26, 631, 111, 995, 22, 161, 3306, 5060, 1723, 2087, 106]","['IMAP' 'HTTP' 'DNS' 'FTP' 'SMTP' 'IPP' 'PORTMAP' 'POP3' 'SSH' 'SNMP'
 'MYSQL' 'SIP' 'PPTP' 'LSP' 'POPPASSD']",1
24.157.91.36,4,88,"[5900, 2200, 23, 3306, 123, 465, 110, 2000, 21, 5222, 143, 443, 53]","['HTTP' 'SSH' 'UNKNOWN' 'MYSQL' 'NTP' 'SMTP' 'POP3' 'MIKROTIK' 'FTP'
 'XMPP' 'IMAP' 'COAP' 'DNS']",1
24.157.91.36,4,89,"[21, 465, 2086, 1801, 5938, 995, 5671, 2000, 993, 111, 3306]","['FTP' 'SMTP' 'HTTP' 'MSMQ' 'TEAM' 'POP3' 'AMQP' 'MIKROTIK' 'IMAP'
 'PORTMAP' 'MYSQL']",1
24.157.91.36,4,90,"[2082, 3306, 5222, 2002, 123, 2087, 465, 443, 995, 21, 22, 5432]","['HTTP' 'MYSQL' 'XMPP' 'TELNET' 'NTP' 'LSP' 'SMTP' 'UNKNOWN' 'POP3' 'FTP'
 'SSH' 'POSTGRES']",1
24.157.91.36,4,91,"[22, 443, 143, 110, 23, 20547, 2082, 26, 49133, 11211, 3306, 53, 111, 4190]","['SSH' 'UNKNOWN' 'IMAP' 'POP3' 'TELNET' 'PRO' 'HTTP' 'SMTP' 'RDP'
 'MEMCACHED' 'MYSQL' 'DNS' 'PORTMAP' 'PIGEONHOLE']",1
24.157.91.36,4,92,"[2086, 25, 143, 995, 53, 22, 3306, 21, 1167, 161, 18333, 111]","['HTTP' 'SMTP' 'IMAP' 'POP3' 'DNS' 'SSH' 'MYSQL' 'FTP' 'UNKNOWN' 'SNMP'
 'BITCOIN' 'PORTMAP']",1
24.157.91.36,4,93,"[20031, 23, 21, 995, 3380, 993, 25, 22, 161, 3283, 53, 5060, 10001, 23]","['HTTP' 'TELNET' 'FTP' 'POP3' 'MYSQL' 'IMAP' 'SMTP' 'SSH' 'SNMP' 'ARD'
 'DNS' 'SIP' 'ATG' 'UNKNOWN']",1
24.157.91.36,4,94,"[25, 110, 2095, 21, 123, 143, 111, 58000, 22, 8545, 3306, 5432, 53, 33060, 135]","['SMTP' 'POP3' 'HTTP' 'FTP' 'NTP' 'IMAP' 'PORTMAP' 'CWMP' 'SSH' 'ETHEREUM'
 'MYSQL' 'POSTGRES' 'DNS' 'UNKNOWN' 'DCERPC']",1
24.157.91.36,4,95,"[110, 3306, 27017, 111, 993, 80, 465, 631, 21, 4190, 1433, 23, 5222, 5060, 22]","['POP3' 'MYSQL' 'MONGODB' 'PORTMAP' 'IMAP' 'HTTP' 'SMTP' 'IPP' 'FTP'
 'PIGEONHOLE' 'MSSQL' 'TELNET' 'XMPP' 'SIP' 'SSH']",1
24.157.91.36,4,96,"[80, 22, 26, 995, 3306, 123, 500, 993, 21, 1723, 2227, 23, 20547, 53, 5938]","['HTTP' 'SSH' 'SMTP' 'POP3' 'MYSQL' 'NTP' 'IKE' 'IMAP' 'FTP' 'PPTP'
 'UNKNOWN' 'TELNET' 'PRO' 'DNS' 'TEAM']",1
24.157.91.36,4,97,"[587, 2022, 2079, 143, 53, 26299, 5432, 3389, 21, 177, 110, 23]","['SMTP' 'SSH' 'HTTP' 'IMAP' 'DNS' 'UNKNOWN' 'POSTGRES' 'RDP' 'FTP' 'XDMCP'
 'POP3' 'TELNET']",1
24.157.91.36,4,98,"[25, 23, 21, 808, 22, 143, 110, 3306, 445, 9200, 123]","['SMTP' 'TELNET' 'FTP' 'HTTP' 'SSH' 'IMAP' 'POP3' 'MYSQL' 'SMB'
 'ELASTICSEARCH' 'NTP']",1
24.157.91.36,4,99,"[993, 995, 2086, 53, 25, 500, 22, 3306, 21, 111, 123, 5432, 2000, 23, 161]","['IMAP' 'POP3' 'HTTP' 'DNS' 'SMTP' 'IKE' 'SSH' 'MYSQL' 'FTP' 'PORTMAP'
 'NTP' 'POSTGRES' 'MIKROTIK' 'TELNET' 'SNMP']",1
154.206.168.153,5,100,"[443, 26]","['HTTP', 'SMTP']",0
154.206.168.153,5,101,"[22, 26, 443]","['SSH', 'SMTP', 'HTTP']",0
154.206.168.153,5,102,"[443, 22]","['HTTP', 'SSH']",0
154.206.168.153,5,103,[26],['SMTP'],0
154.206.168.153,5,104,"[22, 443]","['SSH', 'HTTP']",0
154.206.168.153,5,105,"[22, 443]","['SSH', 'HTTP']",0
154.206.168.153,5,106,[26],['SMTP'],0
154.206.168.153,5,107,"[22, 443, 26]","['SSH', 'HTTP', 'SMTP']",0
154.206.168.153,5,108,[443],['HTTP'],0
154.206.168.153,5,109,"[443, 26, 22]","['HTTP', 'SMTP', 'SSH']",0
154.206.168.153,5,110,[443],['HTTP'],0
154.206.168.153,5,111,"[26, 22]","['SMTP', 'SSH']",0
154.206.168.153,5,112,"[22, 443]","['SSH', 'HTTP']",0
154.206.168.153,5,113,"[443, 22]","['HTTP', 'SSH']",0
154.206.168.153,5,114,[22],['SSH'],0
154.206.168.153,5,115,"[443, 22, 26]","['HTTP', 'SSH', 'SMTP']",0
154.206.168.153,5,116,"[443, 26]","['HTTP', 'SMTP']",0
154.206.168.153,5,117,"[443, 22, 26]","['HTTP', 'SSH', 'SMTP']",0
154.206.168.153,5,118,[22],['SSH'],0
154.206.168.153,5,119,"[22, 443]","['SSH', 'HTTP']",0
21.110.74.53,6,120,[21],['FTP'],0
21.110.74.53,6,121,"[21, 443]","['FTP', 'HTTP']",0
21.110.74.53,6,122,[25],['SMTP'],0
21.110.74.53,6,123,"[443, 21]","['HTTP', 'FTP']",0
21.110.74.53,6,124,"[25, 21, 443]","['SMTP', 'FTP', 'HTTP']",0
21.110.74.53,6,125,"[21, 25, 443]","['FTP', 'SMTP', 'HTTP']",0
21.110.74.53,6,126,"[25, 443, 21]","['SMTP', 'HTTP', 'FTP']",0
21.110.74.53,6,127,[21],['FTP'],0
21.110.74.53,6,128,"[25, 21, 443]","['SMTP', 'FTP', 'HTTP']",0
21.110.74.53,6,129,[25],['SMTP'],0
21.110.74.53,6,130,[21],['FTP'],0
21.110.74.53,6,131,"[443, 21, 25]","['HTTP', 'FTP', 'SMTP']",0
21.110.74.53,6,132,"[25, 21, 443]","['SMTP', 'FTP', 'HTTP']",0
21.110.74.53,6,133,[25],['SMTP'],0
21.110.74.53,6,134,[443],['HTTP'],0
21.110.74.53,6,135,[443],['HTTP'],0
21.110.74.53,6,136,[21],['FTP'],0
21.110.74.53,6,137,[21],['FTP'],0
21.110.74.53,6,138,"[443, 25]","['HTTP', 'SMTP']",0
21.110.74.53,6,139,"[21, 25, 443]","['FTP', 'SMTP', 'HTTP']",0
17.46.39.218,7,140,"[143, 110]","['IMAP', 'POP3']",0
17.46.39.218,7,141,"[110, 11150, 465, 143]","['POP3', 'HTTP', 'SMTP', 'IMAP']",0
17.46.39.218,7,142,"[143, 8889]","['IMAP', 'UNKNOWN']",0
17.46.39.218,7,143,"[465, 110, 11150]","['SMTP', 'POP3', 'HTTP']",0
17.46.39.218,7,144,"[110, 8889, 11150]","['POP3', 'UNKNOWN', 'HTTP']",0
17.46.39.218,7,145,[11150],['HTTP'],0
17.46.39.218,7,146,"[11150, 143]","['HTTP', 'IMAP']",0
17.46.39.218,7,147,"[465, 8889, 11150]","['SMTP', 'UNKNOWN', 'HTTP']",0
17.46.39.218,7,148,"[11150, 110, 143, 465]","['HTTP', 'POP3', 'IMAP', 'SMTP']",0
17.46.39.218,7,149,"[143, 110]","['IMAP', 'POP3']",0
17.46.39.218,7,150,[8889],['UNKNOWN'],0
17.46.39.218,7,151,"[110, 8889, 465, 143]","['POP3', 'UNKNOWN', 'SMTP', 'IMAP']",0
17.46.39.218,7,152,"[11150, 465, 110, 143]","['HTTP', 'SMTP', 'POP3', 'IMAP']",0
17.46.39.218,7,153,"[465, 143, 8889]","['SMTP', 'IMAP', 'UNKNOWN']",0
17.46.39.218,7,154,"[110, 465, 8889, 11150]","['POP3', 'SMTP', 'UNKNOWN', 'HTTP']",0
17.46.39.218,7,155,"[143, 465, 8889, 11150, 110]","['IMAP', 'SMTP', 'UNKNOWN', 'HTTP', 'POP3']",0
17.46.39.218,7,156,"[143, 465, 8889, 110]","['IMAP', 'SMTP', 'UNKNOWN', 'POP3']",0
17.46.39.218,7,157,[110],['POP3'],0
17.46.39.218,7,158,"[143, 11150, 110, 8889]","['IMAP', 'HTTP', 'POP3', 'UNKNOWN']",0
17.46.39.218,7,159,[465],['SMTP'],0
20.248.130.13,8,160,[465],['SMTP'],0
20.248.130.13,8,161,[3306],['MYSQL'],0
20.248.130.13,8,162,"[465, 3306]","['SMTP', 'MYSQL']",0
20.248.130.13,8,163,"[3306, 465]","['MYSQL', 'SMTP']",0
20.248.130.13,8,164,[3306],['MYSQL'],0
20.248.130.13,8,165,[465],['SMTP'],0
20.248.130.13,8,166,"[465, 3306]","['SMTP', 'MYSQL']",0
20.248.130.13,8,167,"[3306, 465]","['MYSQL', 'SMTP']",0
20.248.130.13,8,168,[3306],['MYSQL'],0
20.248.130.13,8,169,"[3306, 465]","['MYSQL', 'SMTP']",0
20.248.130.13,8,170,"[465, 3306]","['SMTP', 'MYSQL']",0
20.248.130.13,8,171,"[465, 3306]","['SMTP', 'MYSQL']",0
20.248.130.13,8,172,"[465, 3306]","['SMTP', 'MYSQL']",0
20.248.130.13,8,173,[3306],['MYSQL'],0
20.248.130.13,8,174,[465],['SMTP'],0
20.248.130.13,8,175,[465],['SMTP'],0
20.248.130.13,8,176,[465],['SMTP'],0
20.248.130.13,8,177,[3306],['MYSQL'],0
20.248.130.13,8,178,"[465, 3306]","['SMTP', 'MYSQL']",0
20.248.130.13,8,179,[465],['SMTP'],0
232.57.244.176,9,180,"[111, 80, 14236]","['PORTMAP', 'HTTP', 'SSH']",0
232.57.244.176,9,181,[111],['PORTMAP'],0
232.57.244.176,9,182,"[111, 14236]","['PORTMAP', 'SSH']",0
232.57.244.176,9,183,"[14236, 111]","['SSH', 'PORTMAP']",0
232.57.244.176,9,184,[14236],['SSH'],0
232.57.244.176,9,185,[80],['HTTP'],0
232.57.244.176,9,186,"[14236, 111, 80]","['SSH', 'PORTMAP', 'HTTP']",0
232.57.244.176,9,187,"[80, 14236]","['HTTP', 'SSH']",0
232.57.244.176,9,188,[111],['PORTMAP'],0
232.57.244.176,9,189,"[80, 14236, 111]","['HTTP', 'SSH', 'PORTMAP']",0
232.57.244.176,9,190,"[111, 14236]","['PORTMAP', 'SSH']",0
232.57.244.176,9,191,"[80, 14236, 111]","['HTTP', 'SSH', 'PORTMAP']",0
232.57.244.176,9,192,"[80, 14236]","['HTTP', 'SSH']",0
232.57.244.176,9,193,[111],['PORTMAP'],0
232.57.244.176,9,194,"[14236, 111]","['SSH', 'PORTMAP']",0
232.57.244.176,9,195,"[80, 111, 14236]","['HTTP', 'PORTMAP', 'SSH']",0
232.57.244.176,9,196,"[111, 80, 14236]","['PORTMAP', 'HTTP', 'SSH']",0
232.57.244.176,9,197,"[14236, 111]","['SSH', 'PORTMAP']",0
232.57.244.176,9,198,"[14236, 80, 111]","['SSH', 'HTTP', 'PORTMAP']",0
232.57.244.176,9,199,"[80, 111]","['HTTP', 'PORTMAP']",0
